date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:51	6009/6009	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/owl.carousel.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/owl.carousel.css	(from http://www.makeproductions.com/)
12:16:52	8471/8471	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/magnific-popup.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/magnific-popup.css	(from http://www.makeproductions.com/)
12:16:53	29063/29063	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/font-awesome.min.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/font-awesome.min.css	(from http://www.makeproductions.com/)
12:16:54	15661/15661	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:10%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/css/et-line.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/css/et-line.css	(from http://www.makeproductions.com/)
12:16:55	2724/2724	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202017%2010:55:13%20GMT	http://www.makeproductions.com/wp-content/themes/rhythm/style.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/themes/rhythm/style.css	(from http://www.makeproductions.com/)
12:16:56	551359/551359	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202016%2016:16:40%20GMT	http://www.makeproductions.com/wp-content/uploads/js_composer/js_composer_front_custom.css	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/js_composer/js_composer_front_custom.css	(from http://www.makeproductions.com/)
12:17:00	97184/97184	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2009%20Jan%202017%2011:22:46%20GMT	http://www.makeproductions.com/wp-includes/js/jquery/jquery.js	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-includes/js/jquery/jquery.js	(from http://www.makeproductions.com/)
12:17:00	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2009%20Jan%202017%2011:22:46%20GMT	http://www.makeproductions.com/wp-includes/js/jquery/jquery-migrate.min.js	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-includes/js/jquery/jquery-migrate.min.js	(from http://www.makeproductions.com/)
12:17:04	58377/58377	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2009%20Jan%202017%2011:14:34%20GMT	http://www.makeproductions.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js	(from http://www.makeproductions.com/)
12:17:04	107526/107526	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2009%20Jan%202017%2011:14:34%20GMT	http://www.makeproductions.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js	(from http://www.makeproductions.com/)
